0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,activity_label
1.8961284,-0.8123382,0.107162215,-0.02372419,-0.0041495115,0.16531426,-0.19011323,-0.19011323,-0.27626935,-1.0660752,-1.1677119,-0.9186299,-0.9666311,-0.93926746,-0.8277469,-0.79197955,-0.79197955,-0.8513226,-0.8105188,-0.7311387,-1.0247092,-0.8817069,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9168786,-0.8260094,0.16909051,-0.045425415,-0.024657836,0.18732782,-0.16298762,-0.19490856,-0.3059621,-1.0135531,-1.1235939,-0.90650004,-1.0022886,-0.9323223,-0.8137086,-0.8655665,-0.85153043,-0.8133268,-0.85871065,-0.7336239,-1.0466735,-0.87602043,-0.12462461,-0.056897383,-3.553418,-0.07861184,-0.13251056,-0.01089071,-0.13383746,0.002588138,-0.13600373,-0.000589408,-1.6100159,-0.18983077,0.1602256,-0.5822796,-0.63775855,0.038518444,Other
1.9010763,-0.81445706,0.11212684,-0.03500573,-0.005270318,0.18407659,-0.18892294,-0.18892294,-0.2696301,-1.0224512,-1.1342223,-0.8760574,-0.96493703,-0.9375964,-0.8266859,-0.7916001,-0.7916001,-0.8483671,-0.809048,-0.72850305,-1.0231559,-0.86004657,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.922455,-0.83098406,0.17201775,-0.038852423,-0.0076272395,0.21594955,-0.15810919,-0.18971983,-0.3018663,-0.9925016,-1.10068,-0.8792424,-0.9952875,-0.92913,-0.8191557,-0.8643195,-0.8495093,-0.81718457,-0.85972095,-0.73295254,-1.041698,-0.86307716,-0.1254198,-0.05751152,-3.5558758,-0.079668276,-0.13482513,-0.010614741,-0.13627207,0.0019861534,-0.13565657,0.0004060492,-1.6016803,-0.1865785,0.16408584,-0.58871484,-0.63493496,0.041378193,Other
1.9064691,-0.8172313,0.11748013,-0.03845018,-0.0072595454,0.18339236,-0.18711004,-0.18711004,-0.26316985,-0.994031,-1.1056457,-0.84729105,-0.96493745,-0.93762946,-0.82668453,-0.791393,-0.791393,-0.84661955,-0.80905205,-0.7277654,-1.0231514,-0.85990286,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9272201,-0.83453476,0.17361951,-0.029905394,0.001891026,0.2224947,-0.15565956,-0.18792382,-0.29472935,-0.9797505,-1.0773306,-0.8592297,-0.99191386,-0.9229811,-0.8212089,-0.8620843,-0.8448291,-0.8186907,-0.8605157,-0.73442924,-1.0366598,-0.8607869,-0.12480354,-0.058054756,-3.5554726,-0.07964473,-0.13634087,-0.01151948,-0.13755819,0.0022073686,-0.13585651,0.0008526966,-1.5967,-0.18638478,0.16816309,-0.59372836,-0.6323306,0.040464267,Other
1.911897,-0.82016194,0.12285971,-0.038295943,-0.007107157,0.18527241,-0.18521577,-0.18521577,-0.25695568,-0.9724798,-1.0840613,-0.8250879,-0.96490157,-0.9376479,-0.82668215,-0.7912046,-0.7912046,-0.8457011,-0.8089205,-0.7271552,-1.0231692,-0.85983425,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9316565,-0.8381963,0.17478019,-0.021550402,0.010702739,0.22884737,-0.15468097,-0.1872585,-0.28771374,-0.9702049,-1.0588825,-0.84427464,-0.9896597,-0.91886574,-0.8238889,-0.859973,-0.8410047,-0.8209314,-0.8622483,-0.7364648,-1.0326706,-0.8587911,-0.12478018,-0.058350753,-3.5559816,-0.07952171,-0.13731526,-0.012064385,-0.13818038,0.002316147,-0.13601975,0.0013281628,-1.5938094,-0.18609457,0.17078629,-0.5964797,-0.6302146,0.040146112,Other
1.9173565,-0.82317317,0.12826431,-0.039090365,-0.009740094,0.18378732,-0.18339875,-0.18339875,-0.2534328,-0.9546104,-1.0663878,-0.8064828,-0.9649415,-0.93780655,-0.82668424,-0.79107374,-0.79107374,-0.8453896,-0.80909026,-0.7270868,-1.0231578,-0.85989743,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9371035,-0.8419821,0.17750788,-0.015078827,0.016545782,0.23149587,-0.15271053,-0.18596555,-0.28277364,-0.96271217,-1.0443047,-0.83150643,-0.9875036,-0.91517085,-0.8256818,-0.8583805,-0.8371648,-0.82241267,-0.8629521,-0.73736876,-1.029716,-0.8575896,-0.124622166,-0.058866482,-3.5563133,-0.079504006,-0.13808663,-0.012276935,-0.139054,0.0020712465,-0.13643698,0.0016254708,-1.5909572,-0.18558271,0.17293602,-0.5990022,-0.62868,0.04072386,Other
1.9228306,-0.8263479,0.13366419,-0.039216798,-0.008320634,0.1844442,-0.18254693,-0.18254693,-0.24927478,-0.9393251,-1.0497936,-0.79062843,-0.9649795,-0.93820125,-0.82670295,-0.791079,-0.791079,-0.8451514,-0.8093402,-0.72694016,-1.0231386,-0.8599274,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9416687,-0.84565616,0.18027776,-0.009660437,0.0243224,0.23501249,-0.15222886,-0.18516965,-0.2780767,-0.9557609,-1.0299965,-0.8205242,-0.98582286,-0.91224307,-0.82756203,-0.8564971,-0.83450115,-0.8231612,-0.86405754,-0.7381761,-1.0264845,-0.8556876,-0.12483764,-0.059096556,-3.5564203,-0.079455905,-0.1389708,-0.012671697,-0.13965163,0.0022397712,-0.13626193,0.0019266233,-1.5885558,-0.18545574,0.17501986,-0.60122347,-0.6271821,0.04053837,Other
1.9283254,-0.8295726,0.1391073,-0.04067967,-0.008913113,0.18330696,-0.18098275,-0.18098275,-0.24724206,-0.9258922,-1.0348938,-0.7765647,-0.9649512,-0.93857765,-0.8267204,-0.79116905,-0.79116905,-0.8451501,-0.80939853,-0.72701114,-1.0231515,-0.8599335,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9464301,-0.8491614,0.18317193,-0.00497429,0.02992631,0.23691891,-0.15078327,-0.18387908,-0.27515206,-0.9501269,-1.0173061,-0.8109334,-0.9839936,-0.9094315,-0.8289739,-0.85493785,-0.8312198,-0.82450134,-0.8645861,-0.73913556,-1.0239155,-0.85470533,-0.12471789,-0.059342068,-3.556623,-0.079268806,-0.13952567,-0.012983668,-0.14019215,0.0022323355,-0.13658406,0.0020692572,-1.5864468,-0.18501596,0.17666954,-0.6034619,-0.6260916,0.04098977,Other
1.9338635,-0.832948,0.14461671,-0.041780967,-0.008283537,0.1852732,-0.18016864,-0.18016864,-0.24513228,-0.91387737,-1.0207723,-0.7639336,-0.96480376,-0.93862206,-0.8267414,-0.790759,-0.790759,-0.84555167,-0.8092355,-0.72707003,-1.0231162,-0.85988355,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9510695,-0.852507,0.18624115,-0.0013564369,0.035515077,0.2413355,-0.14988828,-0.18282598,-0.27201065,-0.94462323,-1.0049366,-0.8025906,-0.98206383,-0.9072234,-0.83063,-0.8532439,-0.8288194,-0.8264463,-0.8651867,-0.74030447,-1.0214322,-0.85397804,-0.124849975,-0.05932046,-3.556948,-0.07903128,-0.14009209,-0.013432729,-0.14061725,0.0024175793,-0.1367845,0.002696775,-1.5846316,-0.18453029,0.17773685,-0.6047789,-0.62492216,0.04059246,Other
1.939426,-0.8363189,0.150151,-0.04103404,-0.009858452,0.18412249,-0.17936464,-0.17936464,-0.24272956,-0.9030878,-1.0080795,-0.75261134,-0.9647786,-0.9387572,-0.8267523,-0.7907459,-0.7907459,-0.8455842,-0.809253,-0.72695,-1.0231247,-0.85992557,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9561036,-0.8566179,0.18944627,0.0030693272,0.039527543,0.24233462,-0.14945722,-0.18252328,-0.26867592,-0.9407032,-0.9942132,-0.79501164,-0.9806757,-0.90488094,-0.8320396,-0.85184854,-0.8267032,-0.82739264,-0.86535263,-0.74064034,-1.019522,-0.85342205,-0.12471014,-0.059574496,-3.556776,-0.07913726,-0.14078514,-0.01413809,-0.14138302,0.0026030466,-0.13672298,0.0028473064,-1.5833268,-0.18433146,0.17916945,-0.6063663,-0.62407374,0.040863365,Other
1.9449302,-0.8396466,0.15561572,-0.039307754,-0.011049657,0.18276168,-0.178873,-0.178873,-0.2417719,-0.8933465,-0.9963665,-0.7423178,-0.96470463,-0.9387586,-0.82674336,-0.79073185,-0.79073185,-0.8456589,-0.80914015,-0.72688526,-1.0231273,-0.8599594,-0.10779684,-0.06053985,-3.5910118,-0.09615897,-0.15041238,-0.0072136195,-0.16025095,-0.008902758,-0.13945046,-0.0065967254,-1.6273552,-0.19840214,0.117561765,-0.63493377,-0.6756879,0.018749762,1.9614118,-0.86054045,0.1926747,0.008455292,0.043320067,0.2430801,-0.14914367,-0.1828918,-0.2662264,-0.9375207,-0.9841336,-0.78797084,-0.97895086,-0.9033165,-0.8334697,-0.85094064,-0.82419443,-0.8283828,-0.86557543,-0.74194455,-1.0176857,-0.8531102,-0.12459302,-0.059815686,-3.5574236,-0.07922273,-0.14081289,-0.014535117,-0.14182186,0.0025675222,-0.1369945,0.0030172989,-1.5827737,-0.1835821,0.18008313,-0.6073927,-0.6232019,0.041717708,Other
